Country,Product,Data type,Indication,Channel,Date,Value,Source_File
Elbonie,INNOVIX,Activity,Indication 1,Meeting,2022-10-01 00:00:00,574.3588496,INNOVIX_Elbonie.xlsx
Elbonie,INNOVIX,Activity,Indication 1,Meeting,2022-11-01 00:00:00,599.4757218999999,INNOVIX_Elbonie.xlsx
Elbonie,INNOVIX,Activity,Indication 1,Meeting,2022-12-01 00:00:00,622.6025173999999,INNOVIX_Elbonie.xlsx
Elbonie,INNOVIX,Activity,Indication 1,Meeting,2023-01-01 00:00:00,1186.9741451,INNOVIX_Elbonie.xlsx
Elbonie,INNOVIX,Activity,Indication 1,Meeting,2023-02-01 00:00:00,891.5620551000001,INNOVIX_Elbonie.xlsx
Elbonie,INNOVIX,Activity,Indication 1,Meeting,2023-03-01 00:00:00,976.2776309,INNOVIX_Elbonie.xlsx
Elbonie,INNOVIX,Activity,Indication 1,Meeting,2023-04-01 00:00:00,502.71539659999996,INNOVIX_Elbonie.xlsx
Elbonie,INNOVIX,Activity,Indication 1,Meeting,2023-05-01 00:00:00,684.3822172,INNOVIX_Elbonie.xlsx
Elbonie,INNOVIX,Activity,Indication 1,Meeting,2023-06-01 00:00:00,598.3309474,INNOVIX_Elbonie.xlsx
Elbonie,INNOVIX,Activity,Indication 1,Meeting,2023-07-01 00:00:00,898.1762807000001,INNOVIX_Elbonie.xlsx
Elbonie,INNOVIX,Activity,Indication 1,Meeting,2023-08-01 00:00:00,537.3389655999999,INNOVIX_Elbonie.xlsx
Elbonie,INNOVIX,Activity,Indication 1,Meeting,2023-09-01 00:00:00,777.5819217999999,INNOVIX_Elbonie.xlsx
Elbonie,INNOVIX,Activity,Indication 1,Meeting,2023-10-01 00:00:00,1321.1890583999998,INNOVIX_Elbonie.xlsx
Elbonie,INNOVIX,Activity,Indication 1,Meeting,2023-11-01 00:00:00,908.2582981,INNOVIX_Elbonie.xlsx
Elbonie,INNOVIX,Activity,Indication 1,Meeting,2023-12-01 00:00:00,841.8212968999998,INNOVIX_Elbonie.xlsx
Elbonie,INNOVIX,Activity,Indication 1,Meeting,2024-01-01 00:00:00,171.74019600000003,INNOVIX_Elbonie.xlsx
Elbonie,INNOVIX,Activity,Indication 1,Meeting,2024-02-01 00:00:00,268.1538101,INNOVIX_Elbonie.xlsx
Elbonie,INNOVIX,Activity,Indication 1,Meeting,2024-03-01 00:00:00,1597.4740551999998,INNOVIX_Elbonie.xlsx
Elbonie,INNOVIX,Activity,Indication 1,Meeting,2024-04-01 00:00:00,508.9320743,INNOVIX_Elbonie.xlsx
Elbonie,INNOVIX,Activity,Indication 1,Meeting,2024-05-01 00:00:00,710.6430976000001,INNOVIX_Elbonie.xlsx
Elbonie,INNOVIX,Activity,Indication 1,Meeting,2024-06-01 00:00:00,1172.2023557000002,INNOVIX_Elbonie.xlsx
Elbonie,INNOVIX,Activity,Indication 1,Meeting,2024-07-01 00:00:00,1080.0478648000003,INNOVIX_Elbonie.xlsx
Elbonie,INNOVIX,Activity,Indication 1,Meeting,2024-08-01 00:00:00,43.5351286,INNOVIX_Elbonie.xlsx
Elbonie,INNOVIX,Activity,Indication 1,Meeting,2024-09-01 00:00:00,365.999915,INNOVIX_Elbonie.xlsx
Elbonie,INNOVIX,Activity,Indication 1,Meeting,2024-10-01 00:00:00,579.1126237999999,INNOVIX_Elbonie.xlsx
Elbonie,INNOVIX,Activity,Indication 1,Email,2022-10-01 00:00:00,189.7523042,INNOVIX_Elbonie.xlsx
Elbonie,INNOVIX,Activity,Indication 1,Email,2022-11-01 00:00:00,46.4741674,INNOVIX_Elbonie.xlsx
Elbonie,INNOVIX,Activity,Indication 1,Email,2022-12-01 00:00:00,71.4722215,INNOVIX_Elbonie.xlsx
Elbonie,INNOVIX,Activity,Indication 1,Email,2023-01-01 00:00:00,837.2054197999998,INNOVIX_Elbonie.xlsx
Elbonie,INNOVIX,Activity,Indication 1,Email,2023-02-01 00:00:00,147.6412939,INNOVIX_Elbonie.xlsx
Elbonie,INNOVIX,Activity,Indication 1,Email,2023-03-01 00:00:00,529.7552436,INNOVIX_Elbonie.xlsx
Elbonie,INNOVIX,Activity,Indication 1,Email,2023-04-01 00:00:00,89.648878,INNOVIX_Elbonie.xlsx
Elbonie,INNOVIX,Activity,Indication 1,Email,2023-05-01 00:00:00,67.3348929,INNOVIX_Elbonie.xlsx
Elbonie,INNOVIX,Activity,Indication 1,Email,2023-06-01 00:00:00,1345.0480058000003,INNOVIX_Elbonie.xlsx
Elbonie,INNOVIX,Activity,Indication 1,Email,2023-07-01 00:00:00,174.65157059999999,INNOVIX_Elbonie.xlsx
Elbonie,INNOVIX,Activity,Indication 1,Email,2023-08-01 00:00:00,190.146494,INNOVIX_Elbonie.xlsx
Elbonie,INNOVIX,Activity,Indication 1,Email,2023-09-01 00:00:00,217.1211,INNOVIX_Elbonie.xlsx
Elbonie,INNOVIX,Activity,Indication 1,Email,2023-10-01 00:00:00,216.7648962,INNOVIX_Elbonie.xlsx
Elbonie,INNOVIX,Activity,Indication 1,Email,2023-11-01 00:00:00,243.144121,INNOVIX_Elbonie.xlsx
Elbonie,INNOVIX,Activity,Indication 1,Email,2024-01-01 00:00:00,92.955842,INNOVIX_Elbonie.xlsx
Elbonie,INNOVIX,Activity,Indication 1,Email,2024-02-01 00:00:00,340.34549410000005,INNOVIX_Elbonie.xlsx
Elbonie,INNOVIX,Activity,Indication 1,Email,2024-03-01 00:00:00,106.1462978,INNOVIX_Elbonie.xlsx
Elbonie,INNOVIX,Activity,Indication 1,Email,2024-04-01 00:00:00,36.9100859,INNOVIX_Elbonie.xlsx
Elbonie,INNOVIX,Activity,Indication 1,Email,2024-05-01 00:00:00,127.2722482,INNOVIX_Elbonie.xlsx
